Sessao; Data; Tempo Final; Pontos; Fase Final; Nivel Final 
2; 3/4/2024 6:54:09 PM; 05:00; 0; A; 7
3; 3/4/2024 6:54:28 PM; 04:46; 0; A; 7
4; 3/4/2024 6:55:47 PM; 03:46; -65; D; 8
5; 3/17/2024 5:12:45 PM; 04:01; -10.66667; D; 7
6; 3/17/2024 5:12:51 PM; 04:55; 0; D; 7
