Sessao; Data; Tipo do Objeto; Pontos; Membro 
2;10/11/2023 2:07:31 PM;Alvo;1.333333;Right_Arm
2;10/11/2023 2:07:41 PM;Alvo;1.333333;Right_Arm
2;10/11/2023 2:07:51 PM;Alvo;1.333333;Left_Arm
2;10/11/2023 2:08:01 PM;Alvo;1.333333;Right_Arm
2;10/11/2023 2:08:11 PM;Alvo;1.333333;Left_Arm
2;10/11/2023 2:08:21 PM;Alvo;1.333333;Right_Arm
2;10/11/2023 2:08:31 PM;Alvo;1.333333;Left_Arm
2;10/11/2023 2:11:41 PM;Alvo;25;Right_Arm
2;2/27/2024 6:55:17 PM;Alvo;25;Right_Arm
2;2/27/2024 6:55:29 PM;Alvo;1.333333;Right_Arm
2;2/27/2024 6:55:31 PM;Alvo;1.333333;Right_Arm
2;2/27/2024 6:55:39 PM;Alvo;1.333333;Right_Arm
2;2/27/2024 6:55:41 PM;Alvo;1.333333;Right_Arm
2;2/27/2024 6:55:44 PM;Alvo;1.333333;Right_Arm
2;2/27/2024 6:57:56 PM;Alvo;25;Right_Arm
2;2/27/2024 6:57:58 PM;Alvo;1.333333;Right_Arm
2;2/27/2024 6:58:00 PM;Alvo;1.333333;Right_Arm
2;2/27/2024 6:58:01 PM;Alvo;1.333333;Right_Arm
2;2/27/2024 6:58:02 PM;Alvo;1.333333;Left_Arm
2;2/27/2024 6:58:31 PM;Obstaculo;1.333333;Left_Arm
2;2/27/2024 6:58:33 PM;Obstaculo;1.333333;Right_Arm
2;2/27/2024 6:58:35 PM;Obstaculo;1.333333;Left_Arm
2;2/27/2024 6:58:37 PM;Alvo;1.333333;Right_Arm
2;2/27/2024 6:58:39 PM;Alvo;1.333333;Left_Arm
2;2/27/2024 6:58:44 PM;Obstaculo;1.333333;Left_Arm
2;2/27/2024 6:58:55 PM;Obstaculo;1.333333;Left_Arm
2;2/27/2024 6:58:57 PM;Obstaculo;1.333333;Right_Arm
2;2/27/2024 6:58:59 PM;Obstaculo;1.333333;Left_Arm
2;2/27/2024 6:59:01 PM;Alvo;1.333333;Right_Arm
2;2/27/2024 6:59:03 PM;Alvo;1.333333;Left_Arm
2;2/28/2024 7:26:40 PM;Alvo;25;Right_Arm
2;2/28/2024 7:26:42 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:26:44 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:26:46 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:26:48 PM;Alvo;1.333333;Left_Arm
2;2/28/2024 7:26:50 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:26:52 PM;Alvo;1.333333;Left_Arm
2;2/28/2024 7:26:54 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:26:55 PM;Alvo;1.333333;Left_Arm
2;2/28/2024 7:27:06 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:27:08 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:27:10 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:27:12 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:27:14 PM;Alvo;1.333333;Left_Arm
2;2/28/2024 7:27:16 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:27:18 PM;Alvo;1.333333;Left_Arm
2;2/28/2024 7:27:20 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:27:22 PM;Alvo;1.333333;Left_Arm
2;2/28/2024 7:27:33 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:27:35 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:27:37 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:30:17 PM;Alvo;25;Right_Arm
2;2/28/2024 7:30:19 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:30:21 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:30:23 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:30:25 PM;Alvo;1.333333;Left_Arm
2;2/28/2024 7:30:27 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:30:29 PM;Alvo;1.333333;Left_Arm
2;2/28/2024 7:30:31 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:30:33 PM;Alvo;1.333333;Left_Arm
2;2/28/2024 7:30:44 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:30:46 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:30:48 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:30:50 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:31:27 PM;Alvo;25;Right_Arm
2;2/28/2024 7:31:29 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:31:31 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:31:33 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:31:35 PM;Alvo;1.333333;Left_Arm
2;2/28/2024 7:31:37 PM;Alvo;1.333333;Right_Arm
2;2/28/2024 7:31:39 PM;Alvo;1.333333;Left_Arm
