Sessao; Data; Tempo Final; Pontos; Fase Final; Nivel Final 
3; 04/08/2023 15:43:11; 04:15; 8; D; 4
5; 04/08/2023 15:53:42; 04:45; -3,333333; A; 8
9; 04/08/2023 15:53:48; 04:53; 4,666667; A; 9
10; 05/08/2023 17:15:59; 04:59; 0; A; 9
11; 05/08/2023 21:54:55; 04:50; 2; A; 9
