Sessao; Data; Tipo do Objeto; Pontos; Membro 
3;04/08/2023 14:36:06;Alvo;1,388889;Left_Arm
3;04/08/2023 14:36:54;Alvo;25;Right_Arm
3;04/08/2023 14:36:55;Alvo;1,388889;Left_Arm
3;04/08/2023 14:36:56;Alvo;1,388889;Right_Arm
3;04/08/2023 14:36:58;Alvo;1,388889;Right_Arm
3;04/08/2023 14:36:59;Alvo;1,388889;Left_Arm
3;04/08/2023 14:37:07;Alvo;1,388889;Right_Arm
3;04/08/2023 14:37:08;Alvo;1,388889;Left_Arm
3;04/08/2023 14:37:09;Alvo;1,388889;Right_Arm
3;04/08/2023 14:37:10;Alvo;1,388889;Left_Arm
3;04/08/2023 14:37:11;Alvo;1,388889;Right_Arm
3;04/08/2023 14:37:12;Alvo;1,388889;Left_Arm
3;04/08/2023 14:40:27;Alvo;25;Right_Arm
3;04/08/2023 14:40:28;Alvo;1,388889;Left_Arm
3;04/08/2023 14:40:29;Alvo;1,388889;Right_Arm
3;04/08/2023 14:40:30;Alvo;1,388889;Left_Arm
3;04/08/2023 14:40:31;Alvo;1,388889;Right_Arm
3;04/08/2023 14:40:32;Alvo;1,388889;Left_Arm
3;04/08/2023 14:40:40;Alvo;1,388889;Right_Arm
3;04/08/2023 14:40:41;Alvo;1,388889;Left_Arm
3;04/08/2023 14:40:42;Alvo;1,388889;Right_Arm
3;04/08/2023 14:40:43;Alvo;1,388889;Left_Arm
3;04/08/2023 14:40:44;Alvo;1,388889;Right_Arm
3;04/08/2023 14:40:45;Alvo;1,388889;Left_Arm
3;04/08/2023 14:41:17;Alvo;1,388889;Right_Arm
3;04/08/2023 14:41:23;Alvo;1,388889;Left_Arm
3;04/08/2023 14:41:29;Alvo;1,388889;Right_Arm
3;04/08/2023 14:41:35;Alvo;1,388889;Left_Arm
3;04/08/2023 14:41:41;Alvo;1,388889;Right_Arm
3;04/08/2023 14:41:47;Alvo;1,388889;Left_Arm
3;04/08/2023 14:42:41;Alvo;1,388889;Right_Arm
3;04/08/2023 14:42:47;Alvo;1,388889;Left_Arm
3;04/08/2023 14:42:53;Alvo;1,388889;Right_Arm
3;04/08/2023 14:42:59;Alvo;1,388889;Left_Arm
3;04/08/2023 14:43:05;Alvo;1,388889;Right_Arm
3;04/08/2023 14:43:11;Alvo;1,388889;Left_Arm
3;04/08/2023 14:43:40;Alvo;25;Right_Arm
3;04/08/2023 14:43:41;Alvo;1,388889;Left_Arm
3;04/08/2023 14:43:43;Alvo;1,388889;Right_Arm
3;04/08/2023 14:43:48;Alvo;1,388889;Left_Arm
3;04/08/2023 14:43:54;Alvo;1,388889;Right_Arm
